d,id,ticker,r,price,vol_021,vol_063
2008-01-02,10107,MSFT,-0.010731376,35.22,0.26297368,0.315997098
2008-01-03,10107,MSFT,0.004249956,35.37,0.249708401,0.315198299
2008-01-04,10107,MSFT,-0.028389187,34.38,0.271952323,0.321123901
2008-01-07,10107,MSFT,0.006667721,34.61,0.233134973,0.321215082
2008-01-08,10107,MSFT,-0.034090535,33.45,0.258390859,0.329384469
2008-01-09,10107,MSFT,0.029166492,34.44,0.279471443,0.33362933
2008-01-10,10107,MSFT,-0.003199112,34.33,0.278548029,0.333773185
2008-01-11,10107,MSFT,-0.012309451,33.91,0.273755872,0.334047776
2008-01-14,10107,MSFT,0.014055753,34.39,0.275643687,0.33465632
2008-01-15,10107,MSFT,-0.011404788,34,0.266529748,0.335510229
2008-01-16,10107,MSFT,-0.022907382,33.23,0.275865787,0.33883739
2008-01-17,10107,MSFT,-0.003617535,33.11,0.262360959,0.335660639
2008-01-18,10107,MSFT,-0.003024569,33.01,0.258755463,0.335744472
2008-01-22,10107,MSFT,-0.031387473,31.99,0.276916805,0.335387128
2008-01-23,10107,MSFT,-0.001877762,31.93,0.262119005,0.334786037
2008-01-24,10107,MSFT,0.040508345,33.25,0.29895806,0.343323373
2008-01-25,10107,MSFT,-0.009366731,32.94,0.291986932,0.343348302
2008-01-28,10107,MSFT,-0.006701404,32.72,0.291262493,0.340591807
2008-01-29,10107,MSFT,-0.003674744,32.6,0.287836553,0.286877881
2008-01-30,10107,MSFT,-0.012345898,32.2,0.28712378,0.28673313
2008-01-31,10107,MSFT,0.01234548,32.6,0.291512507,0.281729889
2008-02-01,10107,MSFT,-0.068232803,30.4498,0.366240564,0.302875317
2008-02-04,10107,MSFT,-0.008568606,30.19,0.363995075,0.30242581
2008-02-05,10107,MSFT,-0.037803638,29.07,0.372158816,0.310150421
2008-02-06,10107,MSFT,-0.019101273,28.52,0.370071516,0.311496942
2008-02-07,10107,MSFT,-0.01412428,28.12,0.359473461,0.312017488
2008-02-08,10107,MSFT,0.015525848,28.56,0.344364648,0.311555369
2008-02-11,10107,MSFT,-0.012330712,28.21,0.343907484,0.309755387
2008-02-12,10107,MSFT,0.004597416,28.34,0.347046756,0.305488679
2008-02-13,10107,MSFT,0.021641132,28.96,0.354192039,0.308910498
2008-02-14,10107,MSFT,-0.016011503,28.5,0.355078345,0.300662268
2008-02-15,10107,MSFT,-0.002810947,28.42,0.351541543,0.299589707
2008-02-19,10107,MSFT,-0.004938173,28.17,0.351390069,0.299587223
2008-02-20,10107,MSFT,0.001773427,28.22,0.352552693,0.29865501
2008-02-21,10107,MSFT,-0.004261065,28.1,0.341532029,0.298661606
